 #  r/R [-]  chord [m]    twist [deg]   Area [m^2]   dT/dr [N/m]   dQ/dr [N*m/m]    Cl[-]    Cd[-]    alpha [deg]
0.267857     0.079196     37.826654     0.000924     16.338294     1.042507     0.689000     0.034351     16.115836
0.303571     0.081562     36.007939     0.000922     31.130701     1.972729     0.932090     0.036088     16.446608
0.339286     0.083000     34.213244     0.000888     43.725486     2.837305     0.994573     0.035381     16.181571
0.375000     0.083632     32.467913     0.000842     56.163561     3.714183     1.009504     0.030794     15.633230
0.410714     0.083660     30.771658     0.000778     70.433535     4.827000     1.037561     0.027979     14.695760
0.446429     0.083231     29.124510     0.000705     77.319700     5.149623     0.940977     0.021814     14.650923
0.482143     0.082485     27.689830     0.000630     90.940652     6.241140     0.947300     0.020615     13.848969
0.517857     0.081552     26.287038     0.000557     106.313537     7.561717     0.963658     0.020404     12.936411
0.553571     0.080557     24.746692     0.000503     114.055283     8.075877     0.903520     0.018789     12.371965
0.589286     0.079594     23.245171     0.000465     128.234594     9.300530     0.901290     0.018379     11.361444
0.625000     0.078689     21.873724     0.000436     172.087660     14.091577     1.099687     0.022547     9.152700
0.660714     0.077777     20.487517     0.000413     156.948770     11.857815     0.887808     0.017580     9.504169
0.696429     0.076738     19.138459     0.000395     176.062589     13.721930     0.905787     0.017609     8.396718
0.732143     0.075512     17.982177     0.000377     191.011669     15.159281     0.899716     0.017355     7.610483
0.767857     0.074083     16.807388     0.000356     161.537412     11.736923     0.694036     0.015069     8.069665
0.803571     0.071941     15.489493     0.000324     170.376161     12.534550     0.686083     0.014883     7.086004
0.839286     0.067822     14.199044     0.000282     179.214909     15.956909     2.285083     0.015069     8.069665
0.875000     0.060556     12.919993     0.000219     189.424703     14.572944     0.761508     0.015966     4.872379
0.910714     0.050069     11.491929     0.000149     163.767800     12.028822     0.729899     0.015990     4.297135
0.946429     0.036096     9.861306     0.000077     130.395795     2.191185     0.252813     0.014365     11.689871
