#SuctionSide: Uedge      dStar     theta     tau     delta     dp/dx
0.000999      0.000502     0.000225     0.030239     0.001527     25512.140425
0.001306      0.000895     0.000360     0.017208     0.002443     16104.797864
0.001430      0.000892     0.000399     0.024228     0.002706     9051.438487
0.001493      0.001119     0.000458     0.016478     0.003107     5249.891162
0.001555      0.001104     0.000481     0.020141     0.003255     2754.843050
0.001578      0.001330     0.000537     0.014139     0.003645     983.626876
0.001618      0.001282     0.000552     0.017590     0.003737     -358.110971
0.001619      0.001565     0.000614     0.011430     0.004179     -1784.046774
0.001604      0.001872     0.000684     0.007576     0.004702     -2445.767980
0.001615      0.001740     0.000701     0.011019     0.004761     -4442.109834
0.001652      0.001563     0.000687     0.015423     0.004657     -2929.725741
0.001624      0.002118     0.000788     0.007209     0.005401     -2971.088648
0.001614      0.002180     0.000843     0.007853     0.005752     -2986.728349
0.001618      0.002055     0.000870     0.010556     0.005891     -3047.746320
0.001634      0.001951     0.000881     0.012902     0.005972     -3133.202038
0.001609      0.002368     0.000985     0.008748     0.006675     -3210.602421
0.001600      0.002432     0.001045     0.009135     0.007079     -3296.656020
0.001605      0.002344     0.001072     0.010823     0.007278     -3379.678945
0.001593      0.002537     0.001147     0.009698     0.007776     -3449.601188
0.001575      0.002801     0.001240     0.008322     0.008399     -3523.423266
0.001566      0.002901     0.001308     0.008287     0.008865     -3570.833929
0.001574      0.002732     0.001316     0.009993     0.008981     -3622.220911
0.001555      0.003065     0.001423     0.008241     0.009667     -3437.081655
0.001530      0.003499     0.001553     0.006514     0.010525     -3443.541887
0.001508      0.003888     0.001680     0.005452     0.011377     -4203.043985
0.001491      0.004155     0.001790     0.005010     0.012124     -4827.220858
0.001476      0.004340     0.001889     0.004859     0.012796     -5576.257788
0.001465      0.004450     0.001976     0.004904     0.013391     -4769.772466
0.001457      0.004479     0.002047     0.005130     0.013891     -4747.859216
0.001451      0.004468     0.002106     0.005422     0.014332     -4729.325277
0.001460      0.004134     0.002084     0.006587     0.014344     -4752.121751
0.001428      0.004919     0.002307     0.004803     0.015688     -4812.020641
0.001409      0.005396     0.002461     0.004103     0.016699     -4698.937445
0.001392      0.005836     0.002609     0.003603     0.017683     -5052.582382
0.001378      0.006201     0.002745     0.003288     0.018597     -5745.565052
0.001364      0.006553     0.002882     0.003038     0.019520     -5982.709426
0.001354      0.006724     0.002988     0.003006     0.020249     -5486.029593
0.001332      0.007661     0.003224     0.002302     0.021843     -5486.981828
0.001315      0.008472     0.003430     0.001869     0.023292     -5523.071194
0.001299      0.009273     0.003631     0.001540     0.024729     -5605.931467
0.001285      0.010062     0.003826     0.001288     0.026152     -5926.792437
0.001272      0.010846     0.004018     0.001089     0.027570     -5894.981296
0.001260      0.011683     0.004213     0.000912     0.029043     -6431.979853
0.001248      0.012672     0.004419     0.000732     0.030663     -5980.976762
0.001235      0.014184     0.004657     0.000493     0.032766     -5955.577582
0.001224      0.015627     0.004874     0.000331     0.034778     -5994.042031
0.001215      0.017100     0.005080     0.000209     0.036793     -6112.339147
0.001206      0.018591     0.005276     0.000118     0.038808     -6337.654511
0.001199      0.020110     0.005465     0.000049     0.040833     -6934.485349
0.001192      0.021684     0.005647     -0.000002     0.042893     -6740.684940
0.001186      0.023461     0.005823     -0.000046     0.045108     -6468.251219
0.001181      0.025587     0.005965     -0.000086     0.047497     -6394.609619
0.001177      0.027700     0.006099     -0.000107     0.049873     -6430.572378
0.001173      0.029822     0.006237     -0.000117     0.052305     -6558.973578
0.001169      0.031955     0.006380     -0.000119     0.054790     -6753.401683
0.001165      0.034110     0.006528     -0.000118     0.057330     -7637.094815
0.001162      0.036274     0.006678     -0.000116     0.059899     -7215.148893
0.001158      0.038799     0.006826     -0.000112     0.062806     -6959.202208
0.001155      0.041271     0.006979     -0.000108     0.065698     -6834.711132
0.001152      0.043882     0.007134     -0.000104     0.068736     -6867.232114
0.001149      0.046456     0.007293     -0.000100     0.071765     -7014.347078
0.001146      0.049036     0.007455     -0.000096     0.074818     -7267.943682
