 #  r/R [-]  chord [m]    twist [deg]   Area [m^2]   dT/dr [N/m]   dQ/dr [N*m/m]    Cl[-]    Cd[-]    alpha [deg]
0.267857     0.079196     19.826653     0.000924     12.834115     0.685281     0.497467     0.027511     2.127366
0.303571     0.081562     18.007939     0.000922     21.720723     1.089504     0.598110     0.025120     2.958572
0.339286     0.083000     16.213244     0.000888     28.646010     1.443102     0.603804     0.022322     2.602479
0.375000     0.083632     14.467913     0.000842     34.264294     1.742908     0.575427     0.020169     2.091106
0.410714     0.083660     12.771658     0.000778     38.151069     1.948193     0.525404     0.018666     1.620535
0.446429     0.083231     11.124510     0.000705     40.878773     2.090568     0.472753     0.017404     1.092981
0.482143     0.082485     9.689830     0.000630     42.189150     2.152759     0.417491     0.016305     0.726870
0.517857     0.081552     8.287038     0.000557     40.013160     2.020800     0.343630     0.015437     0.561623
0.553571     0.080557     6.746692     0.000503     37.601919     1.904693     0.283984     0.014691     0.067194
0.589286     0.079594     5.245171     0.000465     33.241903     1.727393     0.223001     0.014259     0.561623
0.625000     0.078689     3.873724     0.000436     26.735275     1.504059     0.160732     0.013998     -0.626560
0.660714     0.077777     2.487516     0.000413     33.241903     1.681358     0.223001     0.016666     0.561623
0.696429     0.076738     1.138459     0.000395     155.448427     0.639472     0.545429     0.014054     2.527846
0.732143     0.075512     -0.017822     0.000377     11.181631     1.289348     0.051236     0.013393     -2.029847
0.767857     0.074083     -1.192611     0.000356     5.904885     1.317475     0.025247     0.013444     -2.371307
0.803571     0.071941     -2.510506     0.000324     0.730258     1.313895     0.003205     0.013491     -2.525013
0.839286     0.067822     -3.800956     0.000282     5.904885     1.342022     0.025247     0.013538     -2.371307
0.875000     0.060556     -5.080007     0.000219     11.079513     1.345603     0.071266     0.013584     -2.217601
0.910714     0.050069     -6.508071     0.000149     16.254140     1.373730     0.133463     0.013631     -2.063896
0.946429     0.036096     -8.138694     0.000077     21.428768     1.377311     0.620482     0.013678     -1.910190
