#SuctionSide: Uedge      dStar     theta     tau     delta     dp/dx
0.000809      0.000188     0.000084     0.025607     0.000572     418555.526129
0.001626      0.000365     0.000151     0.022045     0.001021     121103.946147
0.001636      0.000591     0.000221     0.010339     0.001515     31305.214478
0.001625      0.000703     0.000272     0.009581     0.001852     11516.659975
0.001605      0.000829     0.000326     0.008446     0.002222     8399.108214
0.001575      0.000934     0.000392     0.008685     0.002656     -634.273941
0.001546      0.001050     0.000463     0.008472     0.003139     -8031.600660
0.001521      0.001161     0.000533     0.008171     0.003621     -13571.492704
0.001498      0.001288     0.000605     0.007561     0.004119     -34832.741639
0.001477      0.001407     0.000676     0.007084     0.004609     -18169.916057
0.001476      0.001402     0.000713     0.007791     0.004918     -17206.111163
0.001459      0.001549     0.000783     0.006892     0.005390     -16337.401765
0.001444      0.001664     0.000846     0.006421     0.005835     -16126.620328
0.001434      0.001743     0.000901     0.006229     0.006239     -16268.924817
0.001428      0.001796     0.000947     0.006197     0.006598     -16599.857062
0.001408      0.001995     0.001032     0.005350     0.007152     -17141.295092
0.001398      0.002074     0.001089     0.005218     0.007575     -17961.827347
0.001398      0.002046     0.001114     0.005556     0.007847     -19018.334092
0.001379      0.002248     0.001203     0.004874     0.008421     -25269.431165
0.001370      0.002331     0.001260     0.004733     0.008853     -18207.037781
0.001364      0.002379     0.001307     0.004712     0.009235     -17259.488164
0.001366      0.002349     0.001327     0.004944     0.009496     -16314.118264
0.001362      0.002396     0.001369     0.004895     0.009845     -15641.853688
0.001346      0.002580     0.001454     0.004425     0.010393     -15111.102346
0.001338      0.002670     0.001512     0.004271     0.010823     -14669.231987
0.001333      0.002730     0.001559     0.004203     0.011213     -13022.753110
0.001333      0.002715     0.001581     0.004322     0.011490     -14338.753496
0.001326      0.002802     0.001636     0.004177     0.011907     -14720.927737
0.001313      0.002975     0.001721     0.003856     0.012456     -15041.890069
0.001305      0.003080     0.001784     0.003706     0.012919     -15337.612821
0.001298      0.003163     0.001839     0.003608     0.013356     -15670.713463
0.001294      0.003218     0.001886     0.003564     0.013755     -16075.278513
0.001290      0.003252     0.001925     0.003554     0.014124     -16676.249786
0.001291      0.003231     0.001944     0.003640     0.014407     -17331.833743
0.001285      0.003308     0.001997     0.003551     0.014834     -21379.514574
0.001280      0.003382     0.002049     0.003472     0.015257     -17121.260089
