#PressureSide: Uedge      dStar     theta     tau     delta     dp/dx
0.000939      0.005053     0.003396     0.002076     0.027716     21300.969102
0.000939      0.024540     0.010839     0.000000     0.076600     12382.824828
0.000926      0.021632     0.011480     0.000000     0.080125     11603.669405
0.000934      0.019899     0.011102     0.000000     0.078965     9817.334291
0.000941      0.018527     0.010785     0.000000     0.078339     6531.189596
0.000947      0.017426     0.010525     0.000000     0.078193     6779.161368
0.000953      0.016511     0.010308     0.000000     0.078445     5125.454144
0.000958      0.015733     0.010124     0.000000     0.079057     4034.754591
0.000962      0.015060     0.009967     0.000000     0.080013     4027.349690
0.000966      0.014469     0.009833     0.000000     0.081305     4156.835918
0.000969      0.013946     0.009716     0.000000     0.082938     3773.671135
0.000972      0.013478     0.009615     0.000000     0.084923     3316.854005
0.000975      0.013056     0.009526     0.000000     0.087278     2440.127742
0.000977      0.012673     0.009447     0.000000     0.090029     1759.608244
0.000979      0.012324     0.009378     0.000000     0.093207     1116.321794
0.000981      0.012006     0.009316     0.000000     0.096851     2055.557503
0.000983      0.011715     0.009261     0.000000     0.101007     2014.148078
0.000985      0.011448     0.009212     0.000000     0.105727     1957.847162
0.000986      0.011204     0.009168     0.000000     0.110012     1806.604046
0.000987      0.010980     0.009128     0.000000     0.109535     1608.409580
0.000989      0.010775     0.009092     0.000000     0.109107     1108.862618
0.000990      0.010587     0.009060     0.000000     0.108722     956.457712
0.000991      0.010416     0.009031     0.000000     0.108376     193.537041
0.000992      0.010260     0.009006     0.000000     0.108067     1117.091120
0.000992      0.010119     0.008983     0.000000     0.107791     1174.693857
0.000993      0.009992     0.008962     0.000000     0.107550     1237.479075
0.000994      0.009853     0.008925     0.000000     0.107094     1238.076188
0.000000      0.000000     0.000000     0.000000     0.000000     1195.393737
0.000000      0.000000     0.000000     0.000000     0.000000     1126.994677
0.000000      0.000000     0.000000     0.000000     0.000000     1031.089549
0.000000      0.000000     0.000000     0.000000     0.000000     818.187311
0.000000      0.000000     0.000000     0.000000     0.000000     -1.574680
0.000000      0.000000     0.000000     0.000000     0.000000     873.716621
0.000000      0.000000     0.000000     0.000000     0.000000     955.094551
0.000000      0.000000     0.000000     0.000000     0.000000     1058.640447
0.000000      0.000000     0.000000     0.000000     0.000000     1102.119856
0.000000      0.000000     0.000000     0.000000     0.000000     1135.268542
0.000000      0.000000     0.000000     0.000000     0.000000     1154.065951
