 #  r/R [-]  chord [m]    twist [deg]   Area [m^2]   dT/dr [N/m]   dQ/dr [N*m/m]    Cl[-]    Cd[-]    alpha [deg]
0.267857     0.079196     19.826653     0.000924     14.575022     0.720668     0.549074     0.029108     2.872648
0.303571     0.081562     18.007939     0.000922     23.978766     1.109153     0.646251     0.026123     3.610591
0.339286     0.083000     16.213244     0.000888     31.196612     1.448521     0.645992     0.022912     3.152903
0.375000     0.083632     14.467913     0.000842     37.069970     1.739724     0.613397     0.020531     2.532026
0.410714     0.083660     12.771658     0.000778     41.126228     1.938664     0.559385     0.018804     1.953308
0.446429     0.083231     11.124510     0.000705     43.735749     2.064645     0.500456     0.017511     1.358293
0.482143     0.082485     9.689830     0.000630     44.791520     2.109561     0.439231     0.016382     0.930520
0.517857     0.081552     8.287038     0.000557     42.040072     1.960874     0.358284     0.015477     0.696471
0.553571     0.080557     6.746692     0.000503     39.024022     1.829827     0.292798     0.014719     0.148863
0.589286     0.079594     5.245171     0.000465     33.924868     1.641940     0.226297     0.014254     -0.343767
0.625000     0.078689     3.873724     0.000436     26.525202     1.416563     0.158702     0.013994     -0.644587
0.660714     0.077777     2.487516     0.000413     22.919332     1.380080     0.124020     0.013733     -1.374315
0.696429     0.076738     1.138459     0.000395     14.384609     1.235295     0.071208     0.013620     -1.690536
0.732143     0.075512     -0.017822     0.000377     9.161219     1.228654     0.041919     0.013418     -2.115786
0.767857     0.074083     -1.192611     0.000356     3.777748     1.272504     0.016317     0.013488     -2.454787
0.803571     0.071941     -2.510506     0.000324     0.000000     0.000000     0.000000     0.000000     -2.454787
0.839286     0.067822     -3.800956     0.000282     0.000000     0.000000     0.000000     0.000000     -2.454787
0.875000     0.060556     -5.080007     0.000219     0.000000     0.000000     0.000000     0.000000     -2.454787
0.910714     0.050069     -6.508071     0.000149     0.000000     0.000000     0.000000     0.000000     -2.454787
0.946429     0.036096     -8.138694     0.000077     0.000000     0.000000     -0.043117     -0.003096     -8.138694
