# Azimuth angle [deg]	 r/R [-]	 Coefficient [-]
0	0.267857	0.01264323407
0	0.303571	0.02080059551
0	0.339286	0.02706178169
0	0.375	0.03215667827
0	0.410714	0.03567531585
0	0.446429	0.03793896811
0	0.482143	0.03885480603
0	0.517857	0.0364680382
0	0.553571	0.03385173835
0	0.589286	0.02942843157
0	0.625	0.02300952506
0	0.660714	0.01988158075
0	0.696429	0.01247805802
0	0.732143	0.007946981561
0	0.767857	0.003277041295
0	0.803571	0
0	0.839286	0
0	0.875	0
0	0.910714	0
0	0.946429	0

2	0.267857	0.01264323407
2	0.303571	0.02080059551
2	0.339286	0.02706178169
2	0.375	0.03215667827
2	0.410714	0.03567531585
2	0.446429	0.03793896811
2	0.482143	0.03885480603
2	0.517857	0.0364680382
2	0.553571	0.03385173835
2	0.589286	0.02942843157
2	0.625	0.02300952506
2	0.660714	0.01988158075
2	0.696429	0.01247805802
2	0.732143	0.007946981561
2	0.767857	0.003277041295
2	0.803571	0
2	0.839286	0
2	0.875	0
2	0.910714	0
2	0.946429	0

4	0.267857	0.01264323407
4	0.303571	0.02080059551
4	0.339286	0.02706178169
4	0.375	0.03215667827
4	0.410714	0.03567531585
4	0.446429	0.03793896811
4	0.482143	0.03885480603
4	0.517857	0.0364680382
4	0.553571	0.03385173835
4	0.589286	0.02942843157
4	0.625	0.02300952506
4	0.660714	0.01988158075
4	0.696429	0.01247805802
4	0.732143	0.007946981561
4	0.767857	0.003277041295
4	0.803571	0
4	0.839286	0
4	0.875	0
4	0.910714	0
4	0.946429	0

6	0.267857	0.01264323407
6	0.303571	0.02080059551
6	0.339286	0.02706178169
6	0.375	0.03215667827
6	0.410714	0.03567531585
6	0.446429	0.03793896811
6	0.482143	0.03885480603
6	0.517857	0.0364680382
6	0.553571	0.03385173835
6	0.589286	0.02942843157
6	0.625	0.02300952506
6	0.660714	0.01988158075
6	0.696429	0.01247805802
6	0.732143	0.007946981561
6	0.767857	0.003277041295
6	0.803571	0
6	0.839286	0
6	0.875	0
6	0.910714	0
6	0.946429	0

8	0.267857	0.01264323407
8	0.303571	0.02080059551
8	0.339286	0.02706178169
8	0.375	0.03215667827
8	0.410714	0.03567531585
8	0.446429	0.03793896811
8	0.482143	0.03885480603
