# Azimuth angle [deg]	 r/R [-]	 Coefficient [-]
0	0.267857	0.0005620597368
0	0.303571	0.0008896577012
0	0.339286	0.001173776196
0	0.375	0.001404933251
0	0.410714	0.001557737691
0	0.446429	0.001659537523
0	0.482143	0.001695236681
0	0.517857	0.001575213432
0	0.553571	0.001473121107
0	0.589286	0.001326561907
0	0.625	0.001152006614
0	0.660714	0.001131869366
0	0.696429	0.001026518359
0	0.732143	0.001032561284
0	0.767857	0.001076129844
0	0.803571	0
0	0.839286	0
0	0.875	0
0	0.910714	0
0	0.946429	0

2	0.267857	0.0005620597368
2	0.303571	0.0008896577012
2	0.339286	0.001173776196
2	0.375	0.001404933251
2	0.410714	0.001557737691
2	0.446429	0.001659537523
2	0.482143	0.001695236681
2	0.517857	0.001575213432
2	0.553571	0.001473121107
2	0.589286	0.001326561907
2	0.625	0.001152006614
2	0.660714	0.001131869366
2	0.696429	0.001026518359
2	0.732143	0.001032561284
2	0.767857	0.001076129844
2	0.803571	0
2	0.839286	0
2	0.875	0
2	0.910714	0
2	0.946429	0

4	0.267857	0.0005620597368
4	0.303571	0.0008896577012
4	0.339286	0.001173776196
4	0.375	0.001404933251
4	0.410714	0.001557737691
4	0.446429	0.001659537523
4	0.482143	0.001695236681
4	0.517857	0.001575213432
4	0.553571	0.001473121107
4	0.589286	0.001326561907
4	0.625	0.001152006614
4	0.660714	0.001131869366
4	0.696429	0.001026518359
4	0.732143	0.001032561284
4	0.767857	0.001076129844
4	0.803571	0
4	0.839286	0
4	0.875	0
4	0.910714	0
4	0.946429	0

6	0.267857	0.0005620597368
6	0.303571	0.0008896577012
6	0.339286	0.001173776196
6	0.375	0.001404933251
6	0.410714	0.001557737691
6	0.446429	0.001659537523
6	0.482143	0.001695236681
6	0.517857	0.001575213432
6	0.553571	0.001473121107
6	0.589286	0.001326561907
6	0.625	0.001152006614
6	0.660714	0.001131869366
6	0.696429	0.001026518359
6	0.732143	0.001032561284
6	0.767857	0.001076129844
6	0.803571	0
6	0.839286	0
6	0.875	0
6	0.910714	0
6	0.946429	0

8	0.267857	0.0005620597368
8	0.303571	0.0008896577012
8	0.339286	0.001173776196
8	0.375	0.001404933251
8	0.410714	0.001557737691
8	0.446429	0.001659537523
8	0.482143	0.001695236681
8	0.517857	0.001575213432
8	0.553571	0.001473121107
8	0.589286	0.001326561907
8	0.625	0.001152006614
8	0.660714	0.001131869366
8	0.696429	0.001026518359
8	0.732143	0.001032561284
8	0.767857	0.001076129844
8	0.803571	0
8	0.839286	0
8	0.875	0
8	0.910714	0
8	0.946429	0

10	0.267857	0.0005620597368
10	0.303571	0.0008896577012
10	0.339286	0.001173776196
10	0.375	0.001404933251
10	0.410714	0.001557737691
10	0.446429	0.001659537523
10	0.482143	0.001695236681
10	0.517857	0.001575213432
10	0.553571	0.001473121107
10	0.589286	0.001326561907
10	0.625	0.001152006614
10	0.660714	0.001131869366
10	0.696429	0.001026518359
10	0.732143	0.001032561284
10	0.767857	0.001076129844
10	0.803571	0
10	0.839286	0
10	0.875	0
10	0.910714	0
10	0.946429	0

12	0.267857	0.0005620597368
12	0.303571	0.0008896577012
12	0.339286	0.001173776196
12	0.375	0.001404933251
12	0.410714	0.001557737691
12	0.446429	0.001659537523
12	0.482143	0.001695236681
12	0.517857	0.001575213432
12	0.553571	0.001473121107
12	0.589286	0.001326561907
12	0.625	0.001152006614
12	0.660714	0.001131869366
12	0.696429	0.001026518359
12	0.732143	0.001032561284
12	0.767857	0.001076129844
12	0.803571	0
12	0.839286	0
12	0.875	0
12	0.910714	0
12	0.946429	0

14	0.267857	0.0005620597368
14	0.303571	0.0008896577012
14	0.339286	0.001173776196
14	0.375	0.001404933251
14	0.410714	0.001557737691
14	0.446429	0.001659537523
14	0.482143	0.001695236681
14	0.517857	0.001575213432
14	0.553571	0.001473121107
14	0.589286	0.001326561907
14	0.625	0.001152006614
14	0.660714	0.001131869366
14	0.696429	0.001026518359
14	0.732143	0.001032561284
14	0.767857	0.001076129844
14	0.803571	0
14	0.839286	0
14	0.875	0
14	0.910714	0
14	0.946429	0

16	0.267857	0.0005620597368
16	0.303571	0.0008896577012
16	0.339286	0.001173776196
16	0.375	0.001404933251
16	0.410714	0.001557737691
16	0.446429	0.001659537523
16	0.482143	0.001695236681
16	0.517857	0.001575213432
16	0.553571	0.001473121107
16	0.589286	0.001326561907
16	0.625	0.001152006614
16	0.660714	0.001131869366
16	0.696429	0.001026518359
16	0.732143	0.001032561284
16	0.767857	0.001076129844
16	0.803571	0
16	0.839286	0
16	0.875	0
16	0.910714	0
16	0.946429	0

18	0.267857	0.0005620597368
18	0.303571	0.0008896577012
18	0.339286	0.001173776196
18	0.375	0.001404933251
18	0.410714	0.001557737691
18	0.446429	0.001659537523
18	0.482143	0.001695236681
18	0.517857	0.001575213432
18	0.553571	0.001473121107
18	0.589286	0.001326561907
18	0.625	0.001152006614
18	0.660714	0.001131869366
18	0.696429	0.001026518359
18	0.732143	0.001032561284
18	0.767857	0.001076129844
18	0.803571	0
18	0.839286	0
18	0.875	0
18	0.910714	0
18	0.946429	0

20	0.267857	0.0005620597368
20	0.303571	0.0008896577012
20	0.339286	0.001173776196
20	0.375	0.001404933251
20	0.410714	0.001557737691
20	0.446429	0.001659537523
20	0.482143	0.001695236681
20	0.517857	0.001575213432
20	0.553571	0.001473121107
20	0.589286	0.001326561907
20	0.625	0.001152006614
20	0.660714	0.001131869366
20	0.696429	0.001026518359
20	0.732143	0.001032561284
20	0.767857	0.001076129844
20	0.803571	0
20	0.839286	0
20	0.875	0
20	0.910714	0
20	0.946429	0

22	0.267857	0.0005620597368
22	0.303571	0.0008896577012
22	0.339286	0.001173776196
22	0.375	0.001404933251
22	0.410714	0.001557737691
22	0.446429	0.001659537523
22	0.482143	0.001695236681
22	0.517857	0.001575213432
22	0.553571	0.001473121107
22	0.589286	0.001326561907
22	0.625	0.001152006614
22	0.660714	0.001131869366
22	0.696429	0.001026518359
22	0.732143	0.001032561284
22	0.767857	0.001076129844
22	0.803571	0
22	0.839286	0
22	0.875	0
22	0.910714	0
22	0.946429	0

24	0.267857	0.0005620597368
24	0.303571	0.0008896577012
24	0.339286	0.001173776196
24	0.375	0.001404933251
24	0.410714	0.001557737691
24	0.446429	0.001659537523
24	0.482143	0.001695236681
24	0.517857	0.001575213432
24	0.553571	0.001473121107
24	0.589286	0.001326561907
24	0.625	0.001152006614
24	0.660714	0.001131869366
24	0.696429	0.001026518359
24	0.732143	0.001032561284
24	0.767857	0.001076129844
24	0.803571	0
24	0.839286	0
24	0.875	0
24	0.910714	0
24	0.946429	0

26	0.267857	0.0005620597368
26	0.303571	0.0008896577012
26	0.339286	0.001173776196
26	0.375	0.001404933251
26	0.410714	0.001557737691
26	0.446429	0.001659537523
26	0.482143	0.001695236681
26	0.517857	0.001575213432
26	0.553571	0.001473121107
26	0.589286	0.001326561907
26	0.625	0.001152006614
26	0.660714	0.001131869366
26	0.696429	0.001026518359
26	0.732143	0.001032561284
26	0.767857	0.001076129844
26	0.803571	0
26	0.839286	0
26	0.875	0
26	0.910714	0
26	0.946429	0

28	0.267857	0.0005620597368
28	0.303571	0.0008896577012
28	0.339286	0.001173776196
28	0.375	0.001404933251
28	0.410714	0.001557737691
28	0.446429	0.001659537523
28	0.482143	0.001695236681
28	0.517857	0.001575213432
28	0.553571	0.001473121107
28	0.589286	0.001326561907
28	0.625	0.001152006614
28	0.660714	0.001131869366
28	0.696429	0.001026518359
28	0.732143	0.001032561284
28	0.767857	0.001076129844
28	0.803571	0
28	0.839286	0
28	0.875	0
28	0.910714	0
28	0.946429	0

30	0.267857	0.0005620597368
30	0.303571	0.0008896577012
30	0.339286	0.001173776196
30	0.375	0.001404933251
30	0.410714	0.001557737691
30	0.446429	0.001659537523
30	0.482143	0.001695236681
30	0.517857	0.001575213432
30	0.553571	0.001473121107
30	0.589286	0.001326561907
30	0.625	0.001152006614
30	0.660714	0.001131869366
30	0.696429	0.001026518359
30	0.732143	0.001032561284
30	0.767857	0.001076129844
30	0.803571	0
30	0.839286	0
30	0.875	0
30	0.910714	0
30	0.946429	0

32	0.267857	0.0005620597368
32	0.303571	0.0008896577012
32	0.339286	0.001173776196
32	0.375	0.001404933251
32	0.410714	0.001557737691
32	0.446429	0.001659537523
32	0.482143	0.001695236681
32	0.517857	0.001575213432
32	0.553571	0.001473121107
32	0.589286	0.001326561907
32	0.625	0.001152006614
32	0.660714	0.001131869366
32	0.696429	0.001026518359
32	0.732143	0.001032561284
32	0.767857	0.001076129844
32	0.803571	0
32	0.839286	0
32	0.875	0
32	0.910714	0
32	0.946429	0

34	0.267857	0.0005620597368
34	0.303571	0.0008896577012
34	0.339286	0.001173776196
34	0.375	0.001404933251
34	0.410714	0.001557737691
34	0.446429	0.001659537523
34	0.482143	0.001695236681
34	0.517857	0.001575213432
34	0.553571	0.001473121107
34	0.589286	0.001326561907
