 #  r/R [-]  chord [m]    twist [deg]   Area [m^2]   dT/dr [N/m]   dQ/dr [N*m/m]    Cl[-]    Cd[-]    alpha [deg]
0.168280     0.023984     49.749100     0.000092     -0.080021     0.046680     0.100168     0.130315     9.055437
0.189627     0.025287     47.436950     0.000096     1.704965     0.121705     0.304472     0.137494     8.582164
0.216033     0.026774     44.379250     0.000098     3.887158     0.203825     0.414364     0.120706     8.747004
0.242720     0.028128     41.210900     0.000099     8.360789     0.353197     0.608119     0.092986     7.488834
0.269413     0.029290     38.268250     0.000098     10.190338     0.343092     0.528107     0.026513     7.877216
0.296106     0.030213     35.664200     0.000097     22.678215     0.833144     0.984933     0.038604     4.833289
0.322793     0.030899     33.352600     0.000095     28.726485     1.043236     1.024335     0.029197     4.419898
0.349480     0.031360     31.293250     0.000092     34.834646     1.256444     1.043060     0.022785     4.097152
0.376173     0.031612     29.451650     0.000090     40.702767     1.461708     1.042958     0.018758     3.865040
0.402867     0.031666     27.798200     0.000087     45.763753     1.642398     1.020741     0.017929     3.742369
0.429553     0.031537     26.307850     0.000084     50.688416     1.818268     0.998493     0.017209     3.624178
0.456240     0.031238     24.959450     0.000080     55.432697     1.987520     0.977006     0.016557     3.512650
0.482934     0.030784     23.734900     0.000076     59.917660     2.146950     0.956177     0.015963     3.411434
0.509620     0.030184     22.618800     0.000072     64.064690     2.293564     0.935981     0.015438     3.321504
0.536307     0.029456     21.598150     0.000067     67.416189     2.383164     0.909369     0.012029     3.270183
0.563000     0.028613     20.661800     0.000062     71.042811     2.537398     0.896393     0.014648     3.179394
0.589694     0.027666     19.800150     0.000057     73.828848     2.633349     0.877839     0.014367     3.122518
0.616380     0.026631     19.004950     0.000052     76.090720     2.710304     0.859942     0.014168     3.073729
0.643066     0.025521     18.269050     0.000047     77.315157     2.707170     0.835986     0.010753     3.054694
0.669760     0.024347     17.586250     0.000042     78.932970     2.804483     0.825841     0.014002     2.996609
0.696447     0.023125     16.951250     0.000038     79.458757     2.820792     0.809259     0.014055     2.966227
0.723133     0.021869     16.359350     0.000033     80.494687     2.861275     0.804060     0.014218     2.903687
0.749826     0.020593     15.806300     0.000029     80.975889     2.883459     0.798924     0.014453     2.844815
0.776520     0.019308     15.288550     0.000026     80.897075     2.887625     0.793781     0.014754     2.787172
0.803207     0.018028     14.803000     0.000022     80.286516     2.875146     0.788658     0.015097     2.727094
0.829894     0.016768     14.346700     0.000019     79.179201     2.847898     0.783412     0.015457     2.659981
0.856586     0.015540     13.917100     0.000016     77.432216     2.802563     0.776142     0.015896     2.584449
0.883280     0.014357     13.512050     0.000014     75.102772     2.742639     0.766588     0.016365     2.489998
0.909967     0.013236     13.129500     0.000012     71.862901     2.663648     0.750216     0.017139     2.368873
0.936087     0.012209     12.774900     0.000010     66.738278     2.546849     0.714846     0.019048     2.222096
0.951960     0.011613     12.566750     0.000009     62.974918     2.462943     0.686604     0.020127     2.075710
0.957580     0.011411     12.495350     0.000009     61.474816     2.430226     0.674544     0.020469     2.005929
0.962627     0.011184     12.431800     0.000008     59.221055     2.365348     0.656457     0.020820     1.960996
0.967673     0.010845     12.368950     0.000008     56.966787     2.308657     0.644984     0.021709     1.897836
0.972727     0.010362     12.306700     0.000007     53.325561     2.197204     0.625900     0.022923     1.868003
0.977780     0.009705     12.245050     0.000006     48.609131     2.044630     0.603535     0.024647     1.858517
0.982834     0.008818     12.184000     0.000005     42.603184     1.840729     0.577063     0.027089     1.877150
0.987880     0.007551     12.123550     0.000004     34.790830     1.560344     0.545677     0.030809     1.950506
0.992927     0.005314     12.063700     0.000002     23.917212     1.106226     0.528183     0.035592     2.178247
0.997726     0.002167     12.010300     0.000000     10.848355     0.478673     0.579519     0.036962     2.589986
