#PressureSide: Uedge      dStar     theta     tau     delta     dp/dx
0.000954      0.005615     0.003760     0.002063     0.030571     42634.382298
0.000958      0.005526     0.003728     0.002121     0.030572     -6008.674863
0.000958      0.020781     0.009350     0.000000     0.069994     2500.052544
0.000930      0.018650     0.010507     0.000000     0.075071     519.879716
0.000940      0.017160     0.010117     0.000000     0.074032     -3799.288581
0.000947      0.016037     0.009816     0.000000     0.073606     -803.542487
0.000954      0.015155     0.009581     0.000000     0.073665     -5185.773862
0.000959      0.014432     0.009392     0.000000     0.074115     -3967.841279
0.000964      0.013822     0.009236     0.000000     0.074910     -2134.908497
0.000968      0.013294     0.009106     0.000000     0.076028     -2155.996302
0.000971      0.012831     0.008996     0.000000     0.077463     -2490.562354
0.000974      0.012419     0.008902     0.000000     0.079220     -3222.328721
0.000977      0.012048     0.008821     0.000000     0.081310     -5324.835568
0.000979      0.011711     0.008750     0.000000     0.083755     -5809.167424
0.000981      0.011404     0.008688     0.000000     0.086580     -3514.024149
0.000983      0.011124     0.008634     0.000000     0.089818     -3244.593877
0.000985      0.010866     0.008585     0.000000     0.093510     -3108.076756
0.000986      0.010629     0.008542     0.000000     0.097702     -3202.046234
0.000988      0.010411     0.008504     0.000000     0.102049     -3464.808798
0.000989      0.010210     0.008470     0.000000     0.101638     -4228.607923
0.000990      0.010025     0.008439     0.000000     0.101270     -6105.913409
0.000991      0.009855     0.008412     0.000000     0.100940     -4647.224625
0.000992      0.009700     0.008387     0.000000     0.100644     -3220.242528
0.000993      0.009558     0.008365     0.000000     0.100380     -2722.376444
0.000993      0.009428     0.008345     0.000000     0.100144     -2322.520308
0.000994      0.009311     0.008328     0.000000     0.099935     -2055.299920
0.000995      0.009205     0.008313     0.000000     0.099754     -1853.069487
0.000996      0.009090     0.008284     0.000000     0.099408     -1679.272068
0.000000      0.000000     0.000000     0.000000     0.000000     -1563.075532
0.000000      0.000000     0.000000     0.000000     0.000000     -1471.107905
0.000000      0.000000     0.000000     0.000000     0.000000     -1413.194722
0.000000      0.000000     0.000000     0.000000     0.000000     -1361.619946
0.000000      0.000000     0.000000     0.000000     0.000000     -1356.695830
0.000000      0.000000     0.000000     0.000000     0.000000     -1374.906515
0.000000      0.000000     0.000000     0.000000     0.000000     -1445.264466
0.000000      0.000000     0.000000     0.000000     0.000000     -1519.214900
0.000000      0.000000     0.000000     0.000000     0.000000     -2031.253674
0.000000      0.000000     0.000000     0.000000     0.000000     -1790.694242
0.000000      0.000000     0.000000     0.000000     0.000000     -2020.521930
0.000000      0.000000     0.000000     0.000000     0.000000     -3081.530766
0.000000      0.000000     0.000000     0.000000     0.000000     -1482.900001
0.000000      0.000000     0.000000     0.000000     0.000000     -1171.791610
0.000000      0.000000     0.000000     0.000000     0.000000     -862.323334
