# Azimuth angle [deg]	 r/R [-]	 Coefficient [-]
0	0.267857	0.0006111848792
0	0.303571	0.0009624684076
0	0.339286	0.001269668257
0	0.375	0.001540967477
0	0.410714	0.001734963401
0	0.446429	0.001863695015
0	0.482143	0.001912229279
0	0.517857	0.001784419664
0	0.553571	0.001667082009
0	0.589286	0.001491935019
0	0.625	0.001281431206
0	0.660714	0.001237279679
0	0.696429	0.001092939393
0	0.732143	0.001072095041
0	0.767857	0.001100610009
0	0.803571	0
0	0.839286	0
0	0.875	0
0	0.910714	0
0	0.946429	0

2	0.267857	0.0006111848792
2	0.303571	0.0009624684076
2	0.339286	0.001269668257
2	0.375	0.001540967477
2	0.410714	0.001734963401
2	0.446429	0.001863695015
2	0.482143	0.001912229279
2	0.517857	0.001784419664
2	0.553571	0.001667082009
2	0.589286	0.001491935019
2	0.625	0.001281431206
2	0.660714	0.001237279679
2	0.696429	0.001092939393
2	0.732143	0.001072095041
2	0.767857	0.001100610009
2	0.803571	0
2	0.839286	0
2	0.875	0
2	0.910714	0
2	0.946429	0

4	0.267857	0.0006111848792
4	0.303571	0.0009624684076
4	0.339286	0.001269668257
4	0.375	0.001540967477
4	0.410714	0.001734963401
4	0.446429	0.001863695015
4	0.482143	0.001912229279
4	0.517857	0.001784419664
4	0.553571	0.001667082009
4	0.589286	0.001491935019
4	0.625	0.001281431206
4	0.660714	0.001237279679
4	0.696429	0.001092939393
4	0.732143	0.001072095041
4	0.767857	0.001100610009
4	0.803571	0
4	0.839286	0
4	0.875	0
4	0.910714	0
4	0.946429	0

6	0.267857	0.0006111848792
6	0.303571	0.0009624684076
6	0.339286	0.001269668257
6	0.375	0.001540967477
6	0.410714	0.001734963401
6	0.446429	0.001863695015
6	0.482143	0.001912229279
6	0.517857	0.001784419664
6	0.553571	0.001667082009
6	0.589286	0.001491935019
6	0.625	0.001281431206
6	0.660714	0.001237279679
6	0.696429	0.001092939393
6	0.732143	0.001072095041
6	0.767857	0.001100610009
6	0.803571	0
6	0.839286	0
6	0.875	0
6	0.910714	0
6	0.946429	0

8	0.267857	0.0006111848792
8	0.303571	0.0009624684076
8	0.339286	0.001269668257
8	0.375	0.001540967477
8	0.410714	0.001734963401
8	0.446429	0.001863695015
8	0.482143	0.001912229279
8	0.517857	0.001784419664
8	0.553571	0.001667082009
8	0.589286	0.001491935019
8	0.625	0.001281431206
8	0.660714	0.001237279679
8	0.696429	0.001092939393
8	0.732143	0.001072095041
8	0.767857	0.001100610009
8	0.803571	0
8	0.839286	0
8	0.875	0
8	0.910714	0
8	0.946429	0

10	0.267857	0.0006111848792
10	0.303571	0.0009624684076
10	0.339286	0.001269668257
10	0.375	0.001540967477
10	0.410714	0.001734963401
10	0.446429	0.001863695015
10	0.482143	0.001912229279
10	0.517857	0.001784419664
10	0.553571	0.001667082009
10	0.589286	0.001491935019
10	0.625	0.001281431206
10	0.660714	0.001237279679
10	0.696429	0.001092939393
10	0.732143	0.001072095041
10	0.767857	0.001100610009
10	0.803571	0
10	0.839286	0
10	0.875	0
10	0.910714	0
10	0.946429	0

12	0.267857	0.0006111848792
12	0.303571	0.0009624684076
12	0.339286	0.001269668257
12	0.375	0.001540967477
12	0.410714	0.001734963401
12	0.446429	0.001863695015
12	0.482143	0.001912229279
12	0.517857	0.001784419664
12	0.553571	0.001667082009
12	0.589286	0.001491935019
12	0.625	0.001281431206
12	0.660714	0.001237279679
12	0.696429	0.001092939393
12	0.732143	0.001072095041
12	0.767857	0.001100610009
12	0.803571	0
12	0.839286	0
12	0.875	0
12	0.910714	0
12	0.946429	0

14	0.267857	0.0006111848792
14	0.303571	0.0009624684076
14	0.339286	0.001269668257
14	0.375	0.001540967477
14	0.410714	0.001734963401
14	0.446429	0.001863695015
14	0.482143	0.001912229279
14	0.517857	0.001784419664
14	0.553571	0.001667082009
14	0.589286	0.001491935019
14	0.625	0.001281431206
14	0.660714	0.001237279679
14	0.696429	0.001092939393
14	0.732143	0.001072095041
14	0.767857	0.001100610009
14	0.803571	0
14	0.839286	0
14	0.875	0
14	0.910714	0
14	0.946429	0

16	0.267857	0.0006111848792
16	0.303571	0.0009624684076
16	0.339286	0.001269668257
16	0.375	0.001540967477
16	0.410714	0.001734963401
16	0.446429	0.001863695015
16	0.482143	0.001912229279
16	0.517857	0.001784419664
16	0.553571	0.001667082009
16	0.589286	0.001491935019
16	0.625	0.001281431206
16	0.660714	0.001237279679
16	0.696429	0.001092939393
16	0.732143	0.001072095041
16	0.767857	0.001100610009
16	0.803571	0
16	0.839286	0
16	0.875	0
16	0.910714	0
16	0.946429	0

18	0.267857	0.0006111848792
18	0.303571	0.0009624684076
18	0.339286	0.001269668257
18	0.375	0.001540967477
18	0.410714	0.001734963401
18	0.446429	0.001863695015
18	0.482143	0.001912229279
18	0.517857	0.001784419664
18	0.553571	0.001667082009
18	0.589286	0.001491935019
18	0.625	0.001281431206
18	0.660714	0.001237279679
18	0.696429	0.001092939393
18	0.732143	0.001072095041
