# Azimuth angle [deg]	 r/R [-]	 Coefficient [-]
0	0.267857	0.01247539902
0	0.303571	0.02152188844
0	0.339286	0.02889897965
0	0.375	0.03521791114
0	0.410714	0.03986566953
0	0.446429	0.04311019811
0	0.482143	0.04458059803
0	0.517857	0.04224876685
0	0.553571	0.03944150076
0	0.589286	0.03460913506
0	0.625	0.02739108404
0	0.660714	0.0237221705
0	0.696429	0.01518483374
0	0.732143	0.009802639654
0	0.767857	0.004150563344
0	0.803571	0
0	0.839286	0
0	0.875	0
0	0.910714	0
0	0.946429	0

2	0.267857	0.01247539902
2	0.303571	0.02152188844
2	0.339286	0.02889897965
2	0.375	0.03521791114
2	0.410714	0.03986566953
2	0.446429	0.04311019811
2	0.482143	0.04458059803
2	0.517857	0.04224876685
2	0.553571	0.03944150076
2	0.589286	0.03460913506
2	0.625	0.02739108404
2	0.660714	0.0237221705
2	0.696429	0.01518483374
2	0.732143	0.009802639654
2	0.767857	0.004150563344
2	0.803571	0
2	0.839286	0
2	0.875	0
2	0.910714	0
2	0.946429	0

4	0.267857	0.01247539902
4	0.303571	0.02152188844
4	0.339286	0.02889897965
4	0.375	0.03521791114
4	0.410714	0.03986566953
4	0.446429	0.04311019811
4	0.482143	0.04458059803
4	0.517857	0.04224876685
4	0.553571	0.03944150076
4	0.589286	0.03460913506
4	0.625	0.02739108404
4	0.660714	0.0237221705
4	0.696429	0.01518483374
4	0.732143	0.009802639654
4	0.767857	0.004150563344
4	0.803571	0
4	0.839286	0
4	0.875	0
4	0.910714	0
4	0.946429	0

6	0.267857	0.01247539902
6	0.303571	0.02152188844
6	0.339286	0.02889897965
6	0.375	0.03521791114
6	0.410714	0.03986566953
6	0.446429	0.04311019811
6	0.482143	0.04458059803
6	0.517857	0.04224876685
6	0.553571	0.03944150076
6	0.589286	0.03460913506
6	0.625	0.02739108404
6	0.660714	0.0237221705
6	0.696429	0.01518483374
6	0.732143	0.009802639654
6	0.767857	0.004150563344
6	0.803571	0
6	0.839286	0
6	0.875	0
6	0.910714	0
6	0.946429	0

8	0.267857	0.01247539902
8	0.303571	0.02152188844
8	0.339286	0.02889897965
8	0.375	0.03521791114
8	0.410714	0.03986566953
8	0.446429	0.04311019811
8	0.482143	0.04458059803
8	0.517857	0.04224876685
8	0.553571	0.03944150076
8	0.589286	0.03460913506
8	0.625	0.02739108404
8	0.660714	0.0237221705
8	0.696429	0.01518483374
8	0.732143	0.009802639654
8	0.767857	0.004150563344
8	0.803571	0
8	0.839286	0
8	0.875	0
8	0.910714	0
8	0.946429	0

10	0.267857	0.01247539902
10	0.303571	0.02152188844
10	0.339286	0.02889897965
10	0.375	0.03521791114
10	0.410714	0.03986566953
10	0.446429	0.04311019811
10	0.482143	0.04458059803
10	0.517857	0.04224876685
10	0.553571	0.03944150076
10	0.589286	0.03460913506
10	0.625	0.02739108404
10	0.660714	0.0237221705
10	0.696429	0.01518483374
10	0.732143	0.009802639654
10	0.767857	0.004150563344
10	0.803571	0
10	0.839286	0
10	0.875	0
10	0.910714	0
10	0.946429	0

12	0.267857	0.01247539902
12	0.303571	0.02152188844
12	0.339286	0.02889897965
12	0.375	0.03521791114
12	0.410714	0.03986566953
12	0.446429	0.04311019811
12	0.482143	0.04458059803
12	0.517857	0.04224876685
12	0.553571	0.03944150076
12	0.589286	0.03460913506
12	0.625	0.02739108404
12	0.660714	0.0237221705
12	0.696429	0.01518483374
12	0.732143	0.009802639654
12	0.767857	0.004150563344
12	0.803571	0
12	0.839286	0
12	0.875	0
