 #  r/R [-]  chord [m]    twist [deg]   Area [m^2]   dT/dr [N/m]   dQ/dr [N*m/m]    Cl[-]    Cd[-]    alpha [deg]
0.267857     0.079196     19.826653     0.000924     12.510206     0.657644     0.481842     0.027076     1.900399
0.303571     0.081562     18.007939     0.000922     21.081611     1.040954     0.577867     0.024664     2.680837
0.339286     0.083000     16.213244     0.000888     27.687803     1.373390     0.581438     0.021978     2.307407
0.375000     0.083632     14.467913     0.000842     32.844596     1.643858     0.549744     0.019982     1.814907
0.410714     0.083660     12.771658     0.000778     36.286177     1.822648     0.498248     0.018537     1.353069
0.446429     0.083231     11.124510     0.000705     38.600652     1.941760     0.445249     0.017277     0.828079
0.482143     0.082485     9.689830     0.000630     39.491797     1.983530     0.389919     0.016190     0.467442
0.517857     0.081552     8.287038     0.000557     36.946687     1.843096     0.316725     0.015344     0.312851
0.553571     0.080557     6.746692     0.000503     34.199051     1.723642     0.257948     0.014655     -0.172506
0.589286     0.079594     5.245171     0.000465     29.561582     1.552158     0.198171     0.014256     -0.598256
0.625000     0.078689     3.873724     0.000436     22.907662     1.347918     0.137746     0.014009     -0.829012
0.660714     0.077777     2.487516     0.000413     19.759365     1.324356     0.107468     0.013744     -1.528500
0.696429     0.076738     1.138459     0.000395     12.219039     1.201089     0.060866     0.013629     -1.782771
0.732143     0.075512     -0.017822     0.000377     7.704339     1.208160     0.035528     0.013443     -2.174431
0.767857     0.074083     -1.192611     0.000356     3.115899     1.259138     0.013627     0.013510     -2.479524
0.803571     0.071941     -2.510506     0.000324     0.000000     0.000000     0.000000     0.000000     -2.479524
0.839286     0.067822     -3.800956     0.000282     0.000000     0.000000     0.000000     0.000000     -2.479524
0.875000     0.060556     -5.080007     0.000219     0.000000     0.000000     0.000000     0.000000     -2.479524
0.910714     0.050069     -6.508071     0.000149     0.000000     0.000000     0.000000     0.000000     -2.479524
0.946429     0.036096     -8.138694     0.000077     0.000000     0.000000     -0.043117     -0.003096     -8.138694
