#SuctionSide: Uedge      dStar     theta     tau     delta     dp/dx
0.001045      0.000170     0.000076     0.031246     0.000517     -239594.852325
0.001009      0.000756     0.000224     0.001300     0.001625     15627.780422
0.001252      0.000304     0.000142     0.022748     0.000969     -12538.185346
0.001295      0.000582     0.000209     0.006226     0.001444     -58874.998360
0.001299      0.000602     0.000257     0.009873     0.001740     -136815.377984
0.001296      0.000739     0.000315     0.007981     0.002132     -58371.554478
0.001297      0.000803     0.000365     0.008407     0.002473     -51176.339083
0.001290      0.000925     0.000422     0.007327     0.002865     -44231.121260
0.001278      0.001042     0.000483     0.006625     0.003278     -40639.426876
0.001275      0.001095     0.000529     0.006771     0.003608     -38318.526186
0.001287      0.001091     0.000553     0.007408     0.003809     -36835.575233
0.001272      0.001278     0.000621     0.005859     0.004247     -35934.649586
0.001269      0.001327     0.000664     0.005884     0.004559     -35536.432037
0.001271      0.001352     0.000696     0.006051     0.004815     -35586.319636
0.001273      0.001392     0.000729     0.006029     0.005065     -37008.720401
0.001255      0.001601     0.000807     0.004887     0.005556     -40425.635524
0.001247      0.001683     0.000859     0.004705     0.005930     -33846.411158
0.001244      0.001714     0.000897     0.004781     0.006237     -32494.966200
0.001241      0.001759     0.000937     0.004760     0.006548     -31409.762076
0.001238      0.001815     0.000979     0.004671     0.006866     -30630.888716
0.001238      0.001830     0.001007     0.004758     0.007119     -30090.774675
0.001250      0.001757     0.001003     0.005231     0.007215     -29859.165131
0.001249      0.001821     0.001039     0.005042     0.007470     -29711.963881
0.001231      0.002048     0.001129     0.004237     0.007988     -29902.133407
0.001222      0.002166     0.001189     0.003954     0.008395     -30066.557840
0.001215      0.002257     0.001242     0.003785     0.008780     -33991.377047
0.001210      0.002322     0.001288     0.003702     0.009136     -30539.570756
0.001206      0.002365     0.001327     0.003676     0.009465     -28730.636294
0.001206      0.002378     0.001356     0.003724     0.009746     -27937.816256
0.001204      0.002407     0.001389     0.003721     0.010044     -27286.073306
0.001198      0.002493     0.001441     0.003581     0.010422     -26928.527557
0.001195      0.002540     0.001479     0.003536     0.010749     -26602.642113
0.001193      0.002574     0.001513     0.003520     0.011054     -26497.849885
