#SuctionSide: Uedge      dStar     theta     tau     delta     dp/dx
0.000812      0.000200     0.000090     0.026841     0.000607     10950.866472
0.001740      0.000401     0.000165     0.023798     0.001121     11280.887509
0.001729      0.000667     0.000242     0.009757     0.001667     -18136.047945
0.001713      0.000756     0.000294     0.010632     0.002005     -9668.105227
0.001698      0.000855     0.000347     0.010487     0.002359     -12684.632849
0.001658      0.001025     0.000426     0.009001     0.002886     -14517.484709
0.001635      0.001084     0.000490     0.010109     0.003321     -16674.823637
0.001608      0.001229     0.000565     0.009063     0.003835     -18331.279993
0.001568      0.001472     0.000663     0.007092     0.004495     -26530.227706
0.001557      0.001474     0.000715     0.008047     0.004885     -19329.780764
0.001563      0.001426     0.000740     0.009264     0.005129     -18706.839728
0.001525      0.001741     0.000850     0.006756     0.005816     -18246.297947
0.001513      0.001811     0.000909     0.006719     0.006248     -18303.939980
0.001511      0.001808     0.000945     0.007137     0.006563     -18451.523985
0.001507      0.001847     0.000986     0.007178     0.006897     -21399.481189
0.001474      0.002180     0.001106     0.005534     0.007624     -19349.310911
0.001456      0.002331     0.001185     0.005130     0.008172     -17398.573858
0.001443      0.002431     0.001253     0.004971     0.008668     -16722.901415
0.001436      0.002469     0.001303     0.005037     0.009081     -16230.635132
0.001431      0.002482     0.001344     0.005168     0.009448     -15856.679850
0.001426      0.002514     0.001388     0.005208     0.009825     -15635.471631
0.001434      0.002416     0.001386     0.005708     0.009995     -15435.763674
0.001429      0.002475     0.001431     0.005598     0.010357     -15334.699526
0.001404      0.002789     0.001558     0.004690     0.011092     -15288.177147
0.001390      0.002961     0.001643     0.004335     0.011657     -15247.571224
0.001378      0.003101     0.001718     0.004099     0.012188     -15410.813224
0.001369      0.003202     0.001783     0.003969     0.012673     -15335.103961
0.001362      0.003270     0.001838     0.003908     0.013117     -15418.306132
0.001357      0.003314     0.001885     0.003897     0.013526     -15591.874370
0.001357      0.003294     0.001910     0.004005     0.013840     -15869.476328
0.001348      0.003407     0.001977     0.003852     0.014340     -16702.961468
0.001344      0.003448     0.002021     0.003836     0.014739     -17800.921210
0.001342      0.003464     0.002056     0.003861     0.015100     -15889.913806
0.001347      0.003368     0.002048     0.004087     0.015284     -15601.831256
0.001336      0.003535     0.002134     0.003834     0.015853     -15344.668294
0.001323      0.003722     0.002228     0.003579     0.016461     -15224.512749
0.001315      0.003849     0.002302     0.003434     0.016990     -15151.044293
0.001308      0.003947     0.002365     0.003339     0.017480     -15171.721446
0.001303      0.004016     0.002419     0.003295     0.017932     -15269.132679
0.001301      0.004039     0.002454     0.003348     0.018310     -15404.903675
0.001296      0.004107     0.002506     0.003340     0.018752     -16253.256570
0.001288      0.004242     0.002584     0.003252     0.019304     -15947.163796
0.001283      0.004324     0.002643     0.003232     0.019795     -15553.490343
0.001282      0.004328     0.002671     0.003298     0.020147     -15583.394758
0.001271      0.004528     0.002776     0.003149     0.020832     -15684.292170
0.001262      0.004700     0.002869     0.003042     0.021470     -16341.066798
0.001254      0.004841     0.002951     0.002969     0.022059     -16925.384892
0.001248      0.004966     0.003026     0.002915     0.022620     -15706.139370
0.001242      0.005072     0.003095     0.002879     0.023150     -15527.484208
0.001237      0.005163     0.003157     0.002857     0.023652     -15422.723384
0.001233      0.005239     0.003213     0.002847     0.024126     -15403.799980
0.001230      0.005298     0.003263     0.002850     0.024570     -15462.143996
0.001230      0.005299     0.003289     0.002898     0.024910     -15628.663988
0.001223      0.005446     0.003372     0.002830     0.025501     -15872.855416
0.001215      0.005620     0.003467     0.002745     0.026141     -16424.325701
0.001210      0.005757     0.003546     0.002693     0.026715     -17667.306789
0.001205      0.005877     0.003620     0.002653     0.027263     -16413.124400
0.001201      0.005968     0.003682     0.002633     0.027760     -16433.471969
0.001196      0.006080     0.003751     0.002601     0.028290     -17119.472224
0.001189      0.006279     0.003856     0.002517     0.028976     -17011.383717
0.001183      0.006438     0.003944     0.002461     0.029593     -16417.569756
0.001177      0.006587     0.004029     0.002414     0.030193     -16409.866806
0.001172      0.006724     0.004109     0.002375     0.030773     -16544.789310
0.001168      0.006848     0.004184     0.002344     0.031331     -16836.895082
0.001164      0.006962     0.004255     0.002318     0.031873     -17866.652690
0.001160      0.007061     0.004321     0.002301     0.032390     -19108.515769
0.001157      0.007152     0.004383     0.002288     0.032890     -17106.916801
0.001155      0.007178     0.004419     0.002306     0.033276     -16953.716263
0.001148      0.007407     0.004536     0.002229     0.034017     -16842.826373
0.001141      0.007656     0.004660     0.002149     0.034796     -17699.835009
0.001135      0.007880     0.004773     0.002085     0.035531     -16803.510760
0.001129      0.008093     0.004883     0.002028     0.036248     -16782.081148
0.001123      0.008297     0.004989     0.001978     0.036952     -16853.194564
0.001118      0.008493     0.005092     0.001933     0.037641     -17083.778125
0.001112      0.008701     0.005199     0.001886     0.038352     -17550.902215
0.001107      0.008898     0.005302     0.001845     0.039048     -18096.339498
0.001102      0.009095     0.005405     0.001806     0.039742     -20872.742156
0.001097      0.009288     0.005507     0.001770     0.040432     -20573.801718
0.001093      0.009477     0.005607     0.001737     0.041115     -18675.482736
0.001088      0.009664     0.005707     0.001705     0.041797     -18876.195536
0.001084      0.009846     0.005805     0.001676     0.042471     -18624.390304
0.001080      0.010025     0.005902     0.001650     0.043142     -18540.334643
0.001076      0.010200     0.005997     0.001625     0.043806     -18958.966917
0.001073      0.010351     0.006083     0.001607     0.044431     -19543.458025
0.001068      0.010560     0.006191     0.001575     0.045154     -22908.019539
0.001060      0.010984     0.006375     0.001497     0.046231     -22099.062906
0.001054      0.011356     0.006539     0.001436     0.047218     -21213.587902
0.001047      0.011732     0.006703     0.001378     0.048211     -21192.799232
0.001041      0.012107     0.006865     0.001324     0.049198     -25115.173149
0.001035      0.012493     0.007031     0.001271     0.050203     -23113.113439
0.001030      0.012824     0.007177     0.001232     0.051118     -22544.858660
0.001020      0.013576     0.007455     0.001130     0.052676     -25714.839749
0.001012      0.014260     0.007705     0.001049     0.054112     -27119.815679
0.001004      0.014974     0.007959     0.000972     0.055575     -27377.796073
0.000996      0.015708     0.008212     0.000901     0.057052     -30034.358382
0.000988      0.016491     0.008472     0.000832     0.058576     -30641.512169
0.000981      0.017259     0.008722     0.000771     0.060064     -31195.628415
0.000972      0.018469     0.009072     0.000680     0.062113     -32957.895950
