#PressureSide: Uedge      dStar     theta     tau     delta     dp/dx
0.000949      0.004436     0.003029     0.002439     0.025191     2716.484357
0.000949      0.029005     0.012259     0.000000     0.084838     12449.867053
0.000934      0.026843     0.013113     0.000000     0.089696     10988.579695
0.000939      0.025162     0.012884     0.000000     0.089003     9851.083939
0.000943      0.023697     0.012666     0.000000     0.088616     7939.329667
0.000947      0.022413     0.012464     0.000000     0.088536     7102.448630
0.000950      0.021269     0.012275     0.000000     0.088751     6389.804412
0.000954      0.020246     0.012099     0.000000     0.089266     5790.040500
0.000958      0.019326     0.011937     0.000000     0.090094     5353.212907
0.000961      0.018497     0.011788     0.000000     0.091250     4507.078074
0.000964      0.017748     0.011652     0.000000     0.092754     4627.975312
0.000967      0.017069     0.011528     0.000000     0.094628     4282.158135
0.000970      0.016453     0.011415     0.000000     0.096899     3796.999106
0.000972      0.015893     0.011313     0.000000     0.099598     3372.267975
0.000975      0.015383     0.011221     0.000000     0.102762     3355.606143
0.000977      0.014918     0.011137     0.000000     0.106435     2838.936203
0.000979      0.014493     0.011061     0.000000     0.110666     2557.965371
0.000981      0.014105     0.010993     0.000000     0.115515     2806.472144
0.000983      0.013750     0.010930     0.000000     0.121049     2700.511625
0.000984      0.013427     0.010874     0.000000     0.127347     2579.441520
0.000986      0.013131     0.010823     0.000000     0.129872     2334.191904
0.000987      0.012862     0.010777     0.000000     0.129318     2240.980591
0.000988      0.012617     0.010735     0.000000     0.128818     2134.230468
0.000989      0.012394     0.010697     0.000000     0.128368     1839.326421
0.000990      0.012193     0.010664     0.000000     0.127964     1446.556953
0.000991      0.012011     0.010634     0.000000     0.127608     1869.895189
0.000993      0.011807     0.010574     0.000000     0.126889     1869.146202
0.000000      0.000000     0.000000     0.000000     0.000000     1861.175118
0.000000      0.000000     0.000000     0.000000     0.000000     1828.818433
0.000000      0.000000     0.000000     0.000000     0.000000     1808.868922
0.000000      0.000000     0.000000     0.000000     0.000000     1700.510565
0.000000      0.000000     0.000000     0.000000     0.000000     1577.620856
0.000000      0.000000     0.000000     0.000000     0.000000     1425.085830
0.000000      0.000000     0.000000     0.000000     0.000000     887.677306
0.000000      0.000000     0.000000     0.000000     0.000000     1407.458373
