#BB acoustic spectrum: f       1/3 SPL [dB]
49.606283   30.746005
62.500000   14.018963
78.745066   24.644126
99.212566   18.641084
125.000000   42.259522
157.490131   23.001622
198.425131   28.328961
250.000000   33.580643
314.980262   30.969740
396.850263   31.024617
500.000000   35.264505
629.960525   43.593253
793.700526   41.201902
1000.000000   49.332278
1259.921050   36.925649
1587.401052   40.219733
2000.000000   40.136876
2519.842100   45.602192
3174.802104   35.416911
4000.000000   34.372444
5039.684200   18.158818
6349.604208   -inf
8000.000000   -inf
10079.368399   -inf
12699.208416   -inf
16000.000000   -inf
20158.736798   -inf
