#PressureSide: f [Hz]     Phipp_Goody      Rozenberg      
12.500000     0.011485     0.001943
25.000000     0.025618     0.006104
37.500000     0.036911     0.011119
50.000000     0.045470     0.016288
62.500000     0.051895     0.021228
75.000000     0.056716     0.025732
87.500000     0.060333     0.029701
100.000000     0.063040     0.033096
112.500000     0.065051     0.035919
125.000000     0.066525     0.038195
137.500000     0.067583     0.039963
150.000000     0.068312     0.041266
162.500000     0.068783     0.042154
175.000000     0.069047     0.042673
187.500000     0.069147     0.042868
200.000000     0.069115     0.042784
212.500000     0.068978     0.042461
225.000000     0.068754     0.041933
237.500000     0.068463     0.041235
250.000000     0.068116     0.040396
262.500000     0.067724     0.039443
275.000000     0.067298     0.038397
287.500000     0.066843     0.037281
300.000000     0.066367     0.036111
312.500000     0.065873     0.034903
325.000000     0.065367     0.033671
337.500000     0.064852     0.032425
350.000000     0.064330     0.031177
362.500000     0.063804     0.029933
375.000000     0.063276     0.028701
387.500000     0.062748     0.027486
400.000000     0.062220     0.026294
412.500000     0.061695     0.025129
425.000000     0.061173     0.023993
437.500000     0.060654     0.022889
450.000000     0.060140     0.021818
462.500000     0.059631     0.020783
475.000000     0.059128     0.019783
487.500000     0.058630     0.018820
500.000000     0.058138     0.017894
512.500000     0.057652     0.017004
525.000000     0.057173     0.016151
537.500000     0.056701     0.015334
550.000000     0.056235     0.014552
562.500000     0.055775     0.013804
575.000000     0.055323     0.013091
587.500000     0.054877     0.012410
600.000000     0.054438     0.011760
612.500000     0.054005     0.011142
625.000000     0.053579     0.010553
637.500000     0.053159     0.009993
650.000000     0.052746     0.009461
662.500000     0.052339     0.008955
675.000000     0.051939     0.008474
687.500000     0.051545     0.008018
700.000000     0.051157     0.007585
712.500000     0.050774     0.007175
725.000000     0.050398     0.006785
737.500000     0.050028     0.006416
750.000000     0.049663     0.006066
762.500000     0.049304     0.005735
775.000000     0.048950     0.005422
787.500000     0.048602     0.005125
800.000000     0.048259     0.004843
812.500000     0.047921     0.004577
825.000000     0.047588     0.004326
837.500000     0.047261     0.004088
850.000000     0.046938     0.003862
862.500000     0.046620     0.003649
875.000000     0.046307     0.003448
887.500000     0.045998     0.003258
900.000000     0.045694     0.003078
912.500000     0.045394     0.002908
925.000000     0.045099     0.002747
937.500000     0.044807     0.002595
950.000000     0.044520     0.002451
962.500000     0.044237     0.002316
975.000000     0.043959     0.002188
987.500000     0.043684     0.002067
1000.000000     0.043412     0.001952
1012.500000     0.043145     0.001844
1025.000000     0.042881     0.001742
1037.500000     0.042621     0.001646
1050.000000     0.042365     0.001555
1062.500000     0.042111     0.001469
1075.000000     0.041862     0.001388
1087.500000     0.041615     0.001311
1100.000000     0.041372     0.001239
1112.500000     0.041132     0.001171
1125.000000     0.040896     0.001106
1137.500000     0.040662     0.001045
1150.000000     0.040431     0.000988
1162.500000     0.040204     0.000933
1175.000000     0.039979     0.000882
1187.500000     0.039757     0.000833
1200.000000     0.039538     0.000788
1212.500000     0.039321     0.000744
1225.000000     0.039108     0.000703
1237.500000     0.038897     0.000665
1250.000000     0.038688     0.000628
1262.500000     0.038482     0.000594
1275.000000     0.038279     0.000562
1287.500000     0.038078     0.000531
1300.000000     0.037879     0.000502
1312.500000     0.037683     0.000474
1325.000000     0.037489     0.000449
1337.500000     0.037298     0.000424
1350.000000     0.037108     0.000401
1362.500000     0.036921     0.000379
1375.000000     0.036736     0.000359
1387.500000     0.036553     0.000339
1400.000000     0.036373     0.000321
1412.500000     0.036194     0.000303
1425.000000     0.036017     0.000287
1437.500000     0.035843     0.000272
1450.000000     0.035670     0.000257
1462.500000     0.035499     0.000243
1475.000000     0.035330     0.000230
1487.500000     0.035163     0.000218
1500.000000     0.034997     0.000206
1512.500000     0.034834     0.000195
1525.000000     0.034672     0.000184
