#SuctionSide: Uedge      dStar     theta     tau     delta     dp/dx
0.000817      0.000252     0.000113     0.026070     0.000766     29229.127562
0.001762      0.000491     0.000204     0.024157     0.001380     21845.241630
0.001746      0.000806     0.000290     0.009593     0.002000     9794.891005
0.001773      0.000764     0.000321     0.016140     0.002174     3219.597460
0.001787      0.000886     0.000364     0.013309     0.002468     -1220.620209
0.001736      0.001187     0.000455     0.008001     0.003109     -4338.007614
0.001732      0.001095     0.000498     0.013061     0.003378     -6894.165301
0.001709      0.001261     0.000571     0.011111     0.003875     -8861.575027
0.001670      0.001514     0.000668     0.008586     0.004529     -13356.354234
0.001667      0.001466     0.000709     0.010486     0.004840     -11717.221293
0.001687      0.001382     0.000718     0.012586     0.004980     -11896.844290
0.001643      0.001772     0.000839     0.008253     0.005715     -15246.493708
0.001629      0.001857     0.000901     0.008145     0.006158     -12695.380703
0.001638      0.001763     0.000915     0.009563     0.006343     -11597.106319
0.001636      0.001816     0.000956     0.009457     0.006653     -11188.874446
0.001592      0.002262     0.001097     0.006530     0.007498     -10957.656692
0.001570      0.002461     0.001187     0.005865     0.008103     -10804.386246
0.001553      0.002591     0.001264     0.005616     0.008645     -10744.121245
0.001543      0.002645     0.001325     0.005694     0.009103     -10718.001769
0.001537      0.002640     0.001368     0.005983     0.009478     -10733.037485
0.001540      0.002567     0.001387     0.006520     0.009736     -10748.818704
0.001554      0.002401     0.001366     0.007500     0.009806     -10812.085360
0.001547      0.002497     0.001421     0.007182     0.010196     -10889.446357
0.001515      0.002891     0.001568     0.005728     0.011026     -10980.720684
0.001498      0.003105     0.001663     0.005189     0.011646     -11133.768965
0.001484      0.003269     0.001746     0.004865     0.012216     -10743.190339
0.001474      0.003378     0.001815     0.004711     0.012721     -12282.700736
0.001467      0.003441     0.001871     0.004675     0.013166     -13335.902833
0.001463      0.003454     0.001911     0.004749     0.013541     -11951.316217
0.001464      0.003410     0.001931     0.004948     0.013826     -11857.235733
0.001464      0.003391     0.001955     0.005080     0.014131     -11770.906222
0.001457      0.003482     0.002015     0.004941     0.014585     -11793.230960
0.001439      0.003748     0.002131     0.004447     0.015295     -11892.139163
0.001429      0.003893     0.002210     0.004242     0.015847     -11727.094950
0.001421      0.003995     0.002276     0.004129     0.016344     -12826.076284
0.001419      0.004001     0.002310     0.004180     0.016705     -13510.658752
0.001411      0.004109     0.002377     0.004057     0.017212     -12465.878021
0.001395      0.004403     0.002506     0.003673     0.017989     -12397.293426
0.001383      0.004597     0.002603     0.003467     0.018637     -12381.264836
0.001374      0.004755     0.002688     0.003325     0.019238     -12476.589601
0.001367      0.004870     0.002761     0.003239     0.019787     -12587.886164
0.001361      0.004941     0.002820     0.003204     0.020277     -13219.362978
0.001358      0.004970     0.002866     0.003214     0.020708     -14047.309081
0.001348      0.005139     0.002957     0.003080     0.021342     -12952.274558
0.001336      0.005399     0.003081     0.002903     0.022151     -12908.953348
0.001325      0.005612     0.003192     0.002799     0.022905     -12906.325765
0.001316      0.005788     0.003290     0.002732     0.023604     -13019.491007
0.001308      0.005931     0.003377     0.002694     0.024252     -13355.637138
0.001302      0.006050     0.003457     0.002676     0.024863     -13706.012689
0.001299      0.006071     0.003503     0.002727     0.025322     -14725.325123
0.001287      0.006358     0.003639     0.002590     0.026198     -13492.514257
0.001277      0.006615     0.003765     0.002484     0.027029     -13437.315873
0.001267      0.006869     0.003890     0.002388     0.027856     -13431.183337
0.001259      0.007091     0.004004     0.002318     0.028634     -13570.749413
0.001252      0.007287     0.004109     0.002266     0.029374     -13893.070311
0.001245      0.007465     0.004210     0.002225     0.030088     -14711.483513
0.001240      0.007566     0.004284     0.002224     0.030682     -14974.501392
0.001230      0.007899     0.004435     0.002114     0.031637     -14217.753631
0.001220      0.008249     0.004591     0.002006     0.032619     -13986.159751
0.001211      0.008547     0.004729     0.001929     0.033521     -13995.166676
0.001203      0.008833     0.004864     0.001861     0.034406     -14165.112342
0.001196      0.009102     0.004993     0.001804     0.035265     -14449.912712
0.001189      0.009361     0.005119     0.001754     0.036110     -15780.732506
0.001183      0.009563     0.005228     0.001725     0.036871     -15626.774312
0.001174      0.009981     0.005402     0.001632     0.037955     -14786.847691
0.001164      0.010476     0.005597     0.001527     0.039149     -14844.886939
0.001156      0.010855     0.005757     0.001461     0.040170     -15011.383463
0.001148      0.011250     0.005920     0.001397     0.041212     -16403.828939
0.001141      0.011640     0.006082     0.001338     0.042246     -16363.068263
0.001134      0.012026     0.006242     0.001284     0.043274     -15708.364656
0.001127      0.012419     0.006403     0.001233     0.044310     -15019.998219
0.001121      0.012763     0.006551     0.001195     0.045279     -14794.125089
0.001112      0.013386     0.006770     0.001111     0.046629     -14783.593424
0.001103      0.014095     0.007008     0.001022     0.048085     -14934.585942
0.001095      0.014652     0.007204     0.000964     0.049328     -15307.215963
0.001088      0.015250     0.007407     0.000906     0.050617     -15797.615731
0.001081      0.015859     0.007611     0.000851     0.051914     -18380.819395
0.001074      0.016484     0.007816     0.000799     0.053225     -18405.328912
0.001068      0.017128     0.008022     0.000750     0.054551     -16411.512581
0.001062      0.017789     0.008229     0.000704     0.055892     -15803.312883
0.001055      0.018474     0.008438     0.000659     0.057253     -15638.770012
0.001049      0.019181     0.008648     0.000617     0.058633     -15716.162518
0.001044      0.019914     0.008859     0.000576     0.060033     -16126.259376
0.001038      0.020671     0.009072     0.000537     0.061453     -16670.457619
0.001032      0.021457     0.009286     0.000499     0.062896     -20059.805805
0.001027      0.022275     0.009502     0.000463     0.064363     -19368.370702
0.001022      0.023120     0.009718     0.000429     0.065849     -17653.126354
0.001017      0.024039     0.009940     0.000394     0.067402     -17749.905519
0.001011      0.025340     0.010207     0.000345     0.069331     -21376.310427
0.001005      0.026602     0.010456     0.000303     0.071185     -19197.609754
0.001000      0.027908     0.010699     0.000265     0.073051     -18237.148182
0.000995      0.029528     0.010959     0.000222     0.075174     -20598.635894
0.000991      0.031118     0.011198     0.000185     0.077218     -21840.368796
0.000987      0.032746     0.011422     0.000152     0.079247     -20192.837000
0.000983      0.034401     0.011630     0.000122     0.081252     -23544.053798
0.000980      0.036091     0.011823     0.000095     0.083239     -23286.171243
0.000977      0.037813     0.012000     0.000071     0.085207     -21501.214681
0.000975      0.039580     0.012161     0.000050     0.087163     -23442.025356
