#BB (BPM TBL-TE) acoustic spectrum: f [Hz]    Spp [Pa^2/Hz]
2.0000000000e+00    1.0355901639e-17
4.0000000000e+00    5.1779508194e-18
6.0000000000e+00    3.4519672129e-18
8.0000000000e+00    2.5889754097e-18
1.0000000000e+01    2.0935792242e-18
1.2000000000e+01    7.2093541701e-18
1.4000000000e+01    2.2733915242e-16
1.6000000000e+01    3.8838709402e-15
1.8000000000e+01    3.6609961136e-14
2.0000000000e+01    2.2361189209e-13
2.2000000000e+01    9.8775834428e-13
2.4000000000e+01    3.4042438702e-12
2.6000000000e+01    9.6624144665e-12
2.8000000000e+01    2.3498257676e-11
3.0000000000e+01    5.0436950463e-11
3.2000000000e+01    9.7738534304e-11
3.4000000000e+01    1.7403477226e-10
3.6000000000e+01    2.8873183876e-10
3.8000000000e+01    4.5130076633e-10
4.0000000000e+01    6.7058100993e-10
4.2000000000e+01    9.5419494495e-10
4.4000000000e+01    1.3081303647e-09
4.6000000000e+01    1.7365084948e-09
4.8000000000e+01    2.2415248235e-09
5.0000000000e+01    2.8235316348e-09
5.2000000000e+01    3.4812233823e-09
5.4000000000e+01    4.2118861469e-09
5.6000000000e+01    5.0116773485e-09
5.8000000000e+01    5.8759090681e-09
6.0000000000e+01    6.7993159876e-09
6.2000000000e+01    7.7762959926e-09
6.4000000000e+01    8.8011173960e-09
6.6000000000e+01    9.8680913757e-09
6.8000000000e+01    1.0971711617e-08
7.0000000000e+01    1.2106765403e-08
7.2000000000e+01    1.3268421588e-08
7.4000000000e+01    1.4452301110e-08
7.6000000000e+01    1.5654535067e-08
7.8000000000e+01    1.6871814044e-08
8.0000000000e+01    1.8101430688e-08
8.2000000000e+01    1.9341315713e-08
8.4000000000e+01    2.0590065993e-08
8.6000000000e+01    2.1846962406e-08
8.8000000000e+01    2.3111974785e-08
9.0000000000e+01    2.4385751671e-08
9.2000000000e+01    2.5669593544e-08
9.4000000000e+01    2.6965409424e-08
9.6000000000e+01    2.8275658164e-08
9.8000000000e+01    2.9603276953e-08
1.0000000000e+02    3.0951600545e-08
1.0200000000e+02    3.2324059944e-08
1.0400000000e+02    3.3725132391e-08
1.0600000000e+02    3.5158676905e-08
1.0800000000e+02    3.6628743259e-08
1.1000000000e+02    3.8139373654e-08
1.1200000000e+02    3.9694544932e-08
1.1400000000e+02    4.1298122733e-08
1.1600000000e+02    4.2953828023e-08
1.1800000000e+02    4.4665215766e-08
1.2000000000e+02    4.6436079802e-08
1.2200000000e+02    4.8269942927e-08
1.2400000000e+02    5.0167454135e-08
1.2600000000e+02    5.2132017742e-08
1.2800000000e+02    5.4165419249e-08
1.3000000000e+02    5.6269114933e-08
1.3200000000e+02    5.8444662856e-08
1.3400000000e+02    6.0681296371e-08
1.3600000000e+02    6.2950783970e-08
1.3800000000e+02    6.5249929965e-08
1.4000000000e+02    6.7583844532e-08
1.4200000000e+02    6.9957275480e-08
1.4400000000e+02    7.2374759552e-08
1.4600000000e+02    7.4840742338e-08
1.4800000000e+02    7.7359133618e-08
1.5000000000e+02    7.9935550536e-08
1.5200000000e+02    8.2574153126e-08
1.5400000000e+02    8.5279853088e-08
1.5600000000e+02    8.8055461890e-08
1.5800000000e+02    9.0910538534e-08
1.6000000000e+02    9.3839122210e-08
1.6200000000e+02    9.6841742252e-08
1.6400000000e+02    9.9926681855e-08
1.6600000000e+02    1.0310029699e-07
1.6800000000e+02    1.0635997078e-07
1.7000000000e+02    1.0961085085e-07
1.7200000000e+02    1.1285882967e-07
1.7400000000e+02    1.1613172733e-07
1.7600000000e+02    1.1944469036e-07
1.7800000000e+02    1.2274904268e-07
1.8000000000e+02    1.2573252032e-07
1.8200000000e+02    1.2847026475e-07
1.8400000000e+02    1.3103488084e-07
1.8600000000e+02    1.3346685678e-07
1.8800000000e+02    1.3579195846e-07
1.9000000000e+02    1.3803530158e-07
1.9200000000e+02    1.4016706436e-07
1.9400000000e+02    1.4218796080e-07
1.9600000000e+02    1.4412046736e-07
1.9800000000e+02    1.4597149709e-07
2.0000000000e+02    1.4775108374e-07
2.0200000000e+02    1.4946801482e-07
2.0400000000e+02    1.5112166970e-07
2.0600000000e+02    1.5272004421e-07
2.0800000000e+02    1.5427072817e-07
2.1000000000e+02    1.5578095230e-07
2.1200000000e+02    1.5725766727e-07
2.1400000000e+02    1.5870561764e-07
