#BB (BPM TBL-TE) 1/3-oct: f [Hz]   SPL [dB]
100.000000   32.804894
125.000000   35.971258
160.000000   39.375663
200.000000   42.312622
250.000000   43.863354
315.000000   44.171955
400.000000   43.742205
500.000000   43.302101
630.000000   42.706214
800.000000   42.318154
1000.000000   42.123402
1250.000000   42.032942
1600.000000   41.980651
2000.000000   42.068291
2500.000000   42.207499
3150.000000   42.497269
4000.000000   43.235259
5000.000000   44.331214
6300.000000   45.556219
8000.000000   46.624075
10000.000000   47.277643
12500.000000   47.477332
16000.000000   47.039085
20000.000000   43.340516
