#BB acoustic spectrum: f [Hz]        Spp [Pa^2/Hz]      Spp_u [Pa^2/Hz]     Spp_l [Pa^2/Hz]
12.500000     nan    nan    nan
25.000000     nan    nan    nan
37.500000     nan    nan    nan
50.000000     nan    nan    nan
62.500000     nan    nan    nan
75.000000     nan    nan    nan
87.500000     nan    nan    nan
100.000000     nan    nan    nan
112.500000     nan    nan    nan
125.000000     nan    nan    nan
137.500000     nan    nan    nan
150.000000     nan    nan    nan
162.500000     nan    nan    nan
175.000000     nan    nan    nan
187.500000     nan    nan    nan
200.000000     0.000002    0.000001    0.000001
212.500000     0.000019    0.000000    0.000019
225.000000     0.000026    0.000001    0.000025
237.500000     0.000005    0.000003    0.000002
250.000000     0.000016    0.000003    0.000013
262.500000     0.000029    0.000002    0.000027
275.000000     0.000006    0.000000    0.000005
287.500000     0.000008    0.000000    0.000007
300.000000     0.000029    0.000002    0.000027
312.500000     0.000014    0.000004    0.000010
325.000000     0.000006    0.000003    0.000003
337.500000     0.000025    0.000001    0.000024
350.000000     0.000015    0.000000    0.000015
362.500000     0.000002    0.000001    0.000001
375.000000     0.000023    0.000003    0.000020
387.500000     0.000023    0.000004    0.000019
400.000000     0.000003    0.000002    0.000000
412.500000     0.000015    0.000000    0.000015
425.000000     0.000023    0.000000    0.000022
437.500000     0.000004    0.000002    0.000002
450.000000     0.000014    0.000004    0.000010
462.500000     0.000027    0.000004    0.000024
475.000000     0.000007    0.000002    0.000005
487.500000     0.000005    0.000000    0.000005
500.000000     0.000024    0.000001    0.000023
512.500000     0.000013    0.000003    0.000010
525.000000     0.000006    0.000004    0.000002
537.500000     0.000023    0.000003    0.000020
550.000000     0.000015    0.000001    0.000014
562.500000     0.000000    0.000000    0.000000
575.000000     0.000018    0.000002    0.000016
587.500000     0.000021    0.000004    0.000017
600.000000     0.000005    0.000004    0.000000
612.500000     0.000014    0.000002    0.000012
625.000000     0.000020    0.000000    0.000020
637.500000     0.000003    0.000000    0.000002
650.000000     0.000010    0.000003    0.000008
662.500000     0.000025    0.000004    0.000021
675.000000     0.000009    0.000004    0.000006
687.500000     0.000005    0.000001    0.000004
700.000000     0.000020    0.000000    0.000020
712.500000     0.000011    0.000001    0.000009
725.000000     0.000005    0.000004    0.000001
737.500000     0.000022    0.000004    0.000017
750.000000     0.000016    0.000003    0.000013
762.500000     0.000001    0.000001    0.000000
775.000000     0.000014    0.000000    0.000014
787.500000     0.000018    0.000002    0.000016
800.000000     0.000005    0.000004    0.000001
812.500000     0.000014    0.000004    0.000010
825.000000     0.000020    0.000002    0.000018
837.500000     0.000003    0.000000    0.000003
850.000000     0.000007    0.000001    0.000006
862.500000     0.000021    0.000003    0.000018
875.000000     0.000010    0.000005    0.000006
887.500000     0.000006    0.000003    0.000003
900.000000     0.000018    0.000001    0.000017
912.500000     0.000009    0.000000    0.000009
925.000000     0.000002    0.000002    0.000001
937.500000     0.000019    0.000004    0.000015
950.000000     0.000017    0.000004    0.000012
962.500000     0.000002    0.000002    0.000000
975.000000     0.000012    0.000000    0.000011
987.500000     0.000015    0.000000    0.000015
1000.000000     0.000004    0.000003    0.000001
1012.500000     0.000012    0.000005    0.000008
1025.000000     0.000020    0.000004    0.000016
1037.500000     0.000004    0.000001    0.000003
1050.000000     0.000004    0.000000    0.000004
1062.500000     0.000017    0.000001    0.000016
1075.000000     0.000009    0.000004    0.000006
1087.500000     0.000006    0.000004    0.000002
1100.000000     0.000018    0.000003    0.000015
1112.500000     0.000009    0.000001    0.000009
1125.000000     0.000001    0.000000    0.000000
1137.500000     0.000015    0.000002    0.000013
1150.000000     0.000016    0.000004    0.000012
1162.500000     0.000004    0.000004    0.000000
1175.000000     0.000011    0.000002    0.000010
1187.500000     0.000014    0.000000    0.000014
1200.000000     0.000002    0.000001    0.000001
1212.500000     0.000009    0.000003    0.000006
1225.000000     0.000019    0.000004    0.000015
1237.500000     0.000006    0.000003    0.000003
1250.000000     0.000004    0.000001    0.000004
1262.500000     0.000015    0.000000    0.000015
1275.000000     0.000008    0.000002    0.000006
1287.500000     0.000005    0.000004    0.000001
1300.000000     0.000017    0.000004    0.000013
1312.500000     0.000011    0.000002    0.000009
1325.000000     0.000000    0.000000    0.000000
1337.500000     0.000011    0.000000    0.000011
1350.000000     0.000014    0.000003    0.000011
1362.500000     0.000004    0.000004    0.000000
1375.000000     0.000012    0.000004    0.000008
1387.500000     0.000014    0.000001    0.000013
1400.000000     0.000001    0.000000    0.000001
1412.500000     0.000006    0.000001    0.000005
1425.000000     0.000017    0.000003    0.000014
1437.500000     0.000008    0.000004    0.000003
1450.000000     0.000005    0.000003    0.000003
1462.500000     0.000014    0.000001    0.000013
1475.000000     0.000006    0.000000    0.000006
1487.500000     0.000003    0.000002    0.000001
1500.000000     0.000016    0.000004    0.000012
1512.500000     0.000012    0.000004    0.000008
1525.000000     0.000002    0.000002    0.000000
