#BB acoustic spectrum: f [Hz]        Spp [Pa^2/Hz]      Spp_u [Pa^2/Hz]     Spp_l [Pa^2/Hz]
5.0000000000e+00     1.7955026875e-12    4.1377531734e-13    1.3817273702e-12
1.0000000000e+01     4.4223010278e-11    1.2136345989e-11    3.2086664288e-11
1.5000000000e+01     5.9530200808e-11    1.7456166874e-12    5.7784584120e-11
2.0000000000e+01     9.1995468788e-10    1.1010859040e-11    9.0894382884e-10
2.5000000000e+01     1.0149120719e-09    5.3969499452e-11    9.6094257241e-10
3.0000000000e+01     2.6816911179e-10    1.4628108642e-11    2.5354100314e-10
3.5000000000e+01     1.1492676358e-08    1.3984924055e-09    1.0094183952e-08
4.0000000000e+01     1.0090666367e-09    3.9499552681e-10    6.1407110991e-10
4.5000000000e+01     8.8333358187e-11    9.5406415012e-12    7.8792716685e-11
5.0000000000e+01     2.2432646816e-08    5.5052568170e-11    2.2377594247e-08
5.5000000000e+01     7.2471768373e-08    5.8230306175e-11    7.2413538067e-08
6.0000000000e+01     1.4125475559e-09    5.8044242222e-10    8.3210513372e-10
6.5000000000e+01     3.4975795341e-10    4.0049071577e-11    3.0970888183e-10
7.0000000000e+01     2.5599700337e-10    4.7694207673e-11    2.0830279569e-10
7.5000000000e+01     2.1812191163e-08    1.1757334940e-08    1.0054856223e-08
8.0000000000e+01     4.1872490117e-10    5.0583597326e-12    4.1366654144e-10
8.5000000000e+01     1.0769542389e-09    7.8652158987e-11    9.9830207991e-10
9.0000000000e+01     3.6138725904e-09    1.5032556050e-09    2.1106169854e-09
9.5000000000e+01     5.5836471874e-10    1.3760257646e-10    4.2076214228e-10
1.0000000000e+02     2.9539361064e-10    1.2330595912e-11    2.8306301472e-10
1.0500000000e+02     1.7824159946e-10    3.4189193367e-11    1.4405240609e-10
1.1000000000e+02     1.2047002715e-09    9.0171472561e-11    1.1145287989e-09
1.1500000000e+02     1.3855047467e-09    3.9691153932e-10    9.8859320734e-10
1.2000000000e+02     1.3372319946e-06    5.4996010291e-07    7.8727189170e-07
1.2500000000e+02     6.6939727785e-10    4.1601556063e-11    6.2779572178e-10
1.3000000000e+02     1.3396130346e-09    5.9828121515e-11    1.2797849131e-09
1.3500000000e+02     2.5102422708e-09    1.9463771426e-11    2.4907784993e-09
1.4000000000e+02     2.8544059603e-09    6.2150408626e-10    2.2329018741e-09
1.4500000000e+02     8.0320006663e-09    5.0028593104e-10    7.5317147353e-09
1.5000000000e+02     5.6765651261e-09    1.8909011390e-11    5.6576561147e-09
1.5500000000e+02     3.0327123011e-10    3.3637292116e-11    2.6963393799e-10
1.6000000000e+02     3.2169359573e-10    2.5721716551e-11    2.9597187918e-10
1.6500000000e+02     4.2665676750e-10    8.6185565649e-11    3.4047120185e-10
1.7000000000e+02     5.9994842417e-10    2.8527935458e-11    5.7142048872e-10
