#BB acoustic spectrum: f [Hz]        Spp [Pa^2/Hz]      Spp_u [Pa^2/Hz]     Spp_l [Pa^2/Hz]
1.2500000000e+01     4.8538201056e-09    4.3171294993e-09    5.3669060627e-10
2.5000000000e+01     6.6776938497e-09    5.6896064348e-09    9.8808741494e-10
3.7500000000e+01     7.6555990699e-09    6.2747549600e-09    1.3808441098e-09
5.0000000000e+01     8.4530636257e-09    6.6541316451e-09    1.7989319805e-09
6.2500000000e+01     9.5820933392e-09    7.2875629516e-09    2.2945303875e-09
7.5000000000e+01     1.0313289889e-08    7.3886622645e-09    2.9246276245e-09
8.7500000000e+01     1.1018838944e-08    7.4409892821e-09    3.5778496620e-09
1.0000000000e+02     1.2073972131e-08    7.5363125282e-09    4.5376596029e-09
1.1250000000e+02     1.3006775907e-08    7.5869892748e-09    5.4197866318e-09
1.2500000000e+02     1.3928631879e-08    7.6549155283e-09    6.2737163512e-09
1.3750000000e+02     1.5508714028e-08    7.8455993221e-09    7.6631147057e-09
1.5000000000e+02     1.6707693263e-08    7.9851715724e-09    8.7225216901e-09
1.6250000000e+02     1.8147972550e-08    8.1658381342e-09    9.9821344155e-09
1.7500000000e+02     1.9765730223e-08    8.3924892973e-09    1.1373240925e-08
1.8750000000e+02     2.1968901969e-08    9.0504267281e-09    1.2918475241e-08
2.0000000000e+02     2.3884837242e-08    9.3786892422e-09    1.4506147999e-08
2.1250000000e+02     2.6164975112e-08    9.7600544098e-09    1.6404920703e-08
2.2500000000e+02     2.8528107401e-08    1.0195075638e-08    1.8333031763e-08
2.3750000000e+02     3.1118275306e-08    1.0700177115e-08    2.0418098191e-08
2.5000000000e+02     3.5280415416e-08    1.2584674471e-08    2.2695740944e-08
2.6250000000e+02     3.8101844156e-08    1.3374832874e-08    2.4727011282e-08
2.7500000000e+02     4.1067909287e-08    1.4047186340e-08    2.7020722947e-08
2.8750000000e+02     4.3637521677e-08    1.4722763473e-08    2.8914758204e-08
3.0000000000e+02     4.6020255872e-08    1.5416187115e-08    3.0604068758e-08
3.1250000000e+02     4.8811587947e-08    1.6174978924e-08    3.2636609023e-08
