#BB acoustic spectrum: f       1/3 SPL [dB]
49.606283   24.218642
62.500000   24.763104
78.745066   28.238842
99.212566   25.767002
125.000000   31.226676
157.490131   32.322128
198.425131   33.522954
250.000000   37.356402
314.980262   39.714683
396.850263   70.633109
500.000000   48.994967
629.960525   48.199196
793.700526   73.850774
1000.000000   55.574266
1259.921050   54.522435
1587.401052   55.578764
2000.000000   57.005937
2519.842100   64.238814
3174.802104   62.541213
4000.000000   63.199719
5039.684200   65.090609
6349.604208   66.984751
8000.000000   68.609019
10079.368399   70.359234
12699.208416   67.233957
16000.000000   -inf
20158.736798   -inf
