#BB acoustic spectrum: f [Hz]        Spp [Pa^2/Hz]      Spp_u [Pa^2/Hz]     Spp_l [Pa^2/Hz]
5.0000000000e+00     2.3957832170e-11    8.4741257694e-12    1.5483706401e-11
1.0000000000e+01     1.2775295413e-08    1.1662341673e-08    1.1129537406e-09
1.5000000000e+01     1.2646997859e-09    7.8627169982e-10    4.7842808606e-10
2.0000000000e+01     1.5186830232e-08    4.1546300108e-09    1.1032200221e-08
2.5000000000e+01     1.0916728604e-07    9.9998404617e-09    9.9167445577e-08
3.0000000000e+01     3.0462705193e-08    9.1268952661e-09    2.1335809927e-08
3.5000000000e+01     2.9070180579e-07    4.5974289273e-09    2.8610437687e-07
4.0000000000e+01     1.0270321336e-08    9.0930743607e-09    1.1772469757e-09
4.5000000000e+01     7.3360691424e-10    2.8674693544e-10    4.4685997880e-10
5.0000000000e+01     3.9556768668e-07    4.4207893219e-10    3.9512560775e-07
5.5000000000e+01     2.6889200606e-08    4.0759428404e-10    2.6481606322e-08
6.0000000000e+01     5.2656096375e-09    3.3086418579e-10    4.9347454517e-09
6.5000000000e+01     4.9504742718e-09    1.9171650234e-10    4.7587577694e-09
7.0000000000e+01     2.4617098418e-08    1.7761255453e-08    6.8558429651e-09
7.5000000000e+01     3.4432917377e-07    2.8768157846e-07    5.6647595317e-08
8.0000000000e+01     3.2337301602e-09    1.0637104240e-10    3.1273591178e-09
8.5000000000e+01     1.6014241252e-08    8.2310296097e-09    7.7832116428e-09
9.0000000000e+01     9.6087075131e-09    5.0276966056e-09    4.5810109075e-09
9.5000000000e+01     2.4397634646e-09    4.5652183546e-10    1.9832416291e-09
1.0000000000e+02     2.0164296881e-09    5.2277652182e-10    1.4936531663e-09
1.0500000000e+02     9.9709292599e-10    1.1837650958e-10    8.7871641642e-10
1.1000000000e+02     2.3325819444e-08    5.5296334785e-10    2.2772856096e-08
1.1500000000e+02     3.6347188572e-08    3.3299341768e-08    3.0478468039e-09
1.2000000000e+02     2.5892283520e-05    5.0128626751e-06    2.0879420844e-05
1.2500000000e+02     7.6408813296e-09    1.0523235536e-10    7.5356489743e-09
1.3000000000e+02     1.5539249292e-08    9.1831798997e-10    1.4620931302e-08
1.3500000000e+02     1.8924352904e-09    3.1344356667e-10    1.5789917237e-09
1.4000000000e+02     7.3018173737e-09    5.0349539222e-10    6.7983219815e-09
1.4500000000e+02     2.9467059816e-08    5.9252670761e-09    2.3541792740e-08
1.5000000000e+02     1.5853126516e-07    9.0601170078e-10    1.5762525345e-07
1.5500000000e+02     3.1646479791e-09    1.2683721274e-09    1.8962758517e-09
1.6000000000e+02     4.5046084692e-09    8.1078876501e-10    3.6938197042e-09
1.6500000000e+02     2.1637740220e-09    2.2944359669e-10    1.9343304253e-09
1.7000000000e+02     7.2989464463e-09    1.2989515898e-09    5.9999948566e-09
1.7500000000e+02     1.7841044970e-08    1.4084799864e-08    3.7562451063e-09
