#BB acoustic spectrum: f       1/3 SPL [dB]
49.606283   37.234459
62.500000   26.389032
78.745066   36.575066
99.212566   26.811034
125.000000   55.112315
157.490131   34.451591
198.425131   40.839900
250.000000   44.893404
314.980262   38.179251
396.850263   55.322730
500.000000   46.706998
629.960525   50.542419
793.700526   71.639326
1000.000000   59.059019
1259.921050   43.779179
1587.401052   47.702687
2000.000000   48.556732
2519.842100   52.508574
3174.802104   43.678051
4000.000000   41.703088
5039.684200   24.675929
6349.604208   -inf
8000.000000   -inf
10079.368399   -inf
12699.208416   -inf
16000.000000   -inf
20158.736798   -inf
